character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
㐅,sheaf,,,,wǔ: archaic variant of 五[wǔ],,,㐅,,,primitive
㐫,Fagin,,,,,top hat + cruel,⿱ (top-bottom),⿱亠凶,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">凶</span> <span style=""color:#666"">cruel</span>",,primitive
㐬,baby Moses,,,,,infant + flood,⿱ (top-bottom),⿱亠𠫝,"<span style=""color:#1a5276"">囧充－儿</span> <span style=""color:#666"">infant</span><br><span style=""color:#1a5276"">川</span> <span style=""color:#666"">stream</span> <span style=""color:#999"">(alias: flood)</span>",,primitive
㐱,cocktail,,,,,umbrella + rooster tail,⿱ (top-bottom),⿱𠆢彡,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">彡</span> <span style=""color:#666"">rooster tail</span>",,primitive
㓁,paper punch,,,,,hole,⿱ (top-bottom),⿱冖儿,"<span style=""color:#1a5276"">穴</span> <span style=""color:#666"">hole</span>",,primitive
㔾,fingerprint,,,,jié: seal radical in Chinese characters (Kangxi radical 26),,,㔾,,,primitive
㭴,,,,,,floor + walking stick + umbrella + foiled again,⿰ (left-right),⿰木坚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">坚</span> <span style=""color:#666"">firm</span> <span style=""color:#999"">(alias: foiled again)</span>",,
㸚,stitching,,,,,sheaf + sheaf + sheaf + Sheaf,⿱ (top-bottom),⿱⿰㐅㐅⿰㐅乂,"<span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">乂</span> <span style=""color:#666"">Sheaf</span>",,primitive
䌷,,,,,,thread + shoot,⿰ (left-right),⿰纟由,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span><br><span style=""color:#1a5276"">由</span> <span style=""color:#666"">wherefore</span> <span style=""color:#999"">(alias: shoot)</span>",,
䍃,can opener,,,,"yáo: (archaic) vase, pitcher",claw + tin can,⿱ (top-bottom),⿱爫缶,"<span style=""color:#1a5276"">爪</span> <span style=""color:#666"">claw</span> <span style=""color:#999"">(alias: vulture)</span><br><span style=""color:#1a5276"">缶</span> <span style=""color:#666"">tin can</span>",,primitive
一,one,1,1,1,"yī: one, 1, single, a (article)",,,一,,RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
丁,fourth / street,86,90,91,"dīng: fourth of 10 heavenly stems 十天干, fourth in order, letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc, butyl",floor + 亅,⿱ (top-bottom),⿱一亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05 primitive
丂,snare,,,,"kǎo: breath or ""sigh"" component in Chinese characters",floor + ㇉,⿱ (top-bottom),⿱一㇉,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,primitive
七,seven,7,7,7,"qī: seven, 7",floor + hook,,〾⿻一乚,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">乚</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01 primitive
万,ten thousand,,65,64,"Mò: see 万俟[Mò qí] | wàn: ten thousand, a great number",bound up + one,⿸ (top-left-wrap),⿸丆𠃌,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",RSH RTK,RSH1::L04 RTK1v5::L04
丈,100 Chinese Inches / 100 Chinese inches / length,776,837,691,zhàng: ten feet,by one’s side + 乀,⿻ (overlaid),⿻𠂇乀,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L23
三,three,3,3,3,"sān: three, 3",one + two,,三,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",RSH RTH RTK,RSH1::L01 RTH1::L01 RTK1v5::L01
上,above,44,45,49,"shǎng: see 上聲|上声[shǎng shēng] | shàng: on top, upon, above, upper",magic wand + floor,⿱ (top-bottom),⿱⺊一,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
下,below,45,46,50,"xià: down, downwards, below, lower",magic wand + ceiling,⿱ (top-bottom),⿱一卜,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",RSH RTH RTK,RSH1::L03 RTH1::L03 RTK1v5::L03
不,no / negative,924,993,1217,"bù: (negative prefix), not, no",ceiling + person + a drop of,⿸ (top-left-wrap),⿸丆⿰丨丶,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RSH RTH RTK,RSH1::L31 RTH1::L31 RTK1v5::L32 primitive
与,offer / bestow,,1034,1246,"yú: (same as 歟|欤, final particle expression doubt or surprise, similar to 吗 or 呢) | yǔ: and, to give, together with | yù: take part in",pointed tail + slingshot,⿹ (top-right-wrap),⿹{22}一,"<span style=""color:#1a5276"">囧与－丨一</span> <span style=""color:#666"">pointed tail</span><br><span style=""color:#1a5276"">囧与－一</span> <span style=""color:#666"">slingshot</span>",RSH RTK,RSH1::L33 RTK1v5::L33
丑,clown / sign of the cow,1489,1486,2040,"chǒu: clown, 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox, shameful, ugly",needle + key,⿻ (overlaid),⿻{42}丨,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span>",RSH RTH RTK,RSH1::L55 RTH1::L55 RTK1v5::L56
专,specialty,,1238,,"zhuān: for a particular person, occasion, purpose, focused on one thing, special, expert",cornstalk + chop,⿱ (top-bottom),⿱⿻一𠀁丶,"<span style=""color:#1a5276"">囧奉－𡗗</span> <span style=""color:#666"">cornstalk</span><br><span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span>",RSH,RSH1::L39 primitive
且,moreover,1297,1345,2034,"qiě: and, moreover, yet, for the time being",glass cover + floor + floor + floor,⿴ (surround),⿴𠀃𠄠,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",RSH RTH RTK,RSH1::L46 RTH1::L45 RTK1v5::L56 primitive
世,generation,27,28,28,"shì: life, age, generation, era",ten,⿻ (overlaid),⿻廿𠃊,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",RSH RTH RTK,RSH1::L02 RTH1::L02 RTK1v5::L02
丘,hill,1003,1079,1329,"qiū: mound, hillock, grave, classifier for fields",tomahawk,⿱ (top-bottom),⿱㇒⿺丄丅,"<span style=""color:#1a5276"">斤</span> <span style=""color:#666"">catty</span> <span style=""color:#999"">(alias: tomahawk)</span>",RSH RTH RTK,RSH1::L34 RTH1::L34 RTK1v5::L35
丙,third / third class,780,842,1020,"bǐng: third of 10 heavenly stems 十天干, third in order, letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc, propyl",ceiling + internal,⿱ (top-bottom),⿱一内,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">内</span> <span style=""color:#666"">internal</span>",RSH RTH RTK,RSH1::L26 RTH1::L26 RTK1v5::L27
业,profession,,1351,,"yè: line of business, industry, occupation, job",side by side,⿱ (top-bottom),⿱⿻⿰丨丨丷一,"<span style=""color:#1a5276"">並</span> <span style=""color:#666"">side by side</span>",RSH,RSH1::L46
丛,thicket,,2104,,"cóng: cluster, collection, collection of books, thicket",assembly line + floor,⿱ (top-bottom),⿱从一,"<span style=""color:#1a5276"">从</span> <span style=""color:#666"">follow</span> <span style=""color:#999"">(alias: assembly line)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",RSH,RSH2::L26
东,east,,1249,,"dōng: east, host (i.e. sitting on east side of guest), landlord",car + a drop of,⿻ (overlaid),⿻⿻一𠃋小,"<span style=""color:#1a5276"">车</span> <span style=""color:#666"">car</span> <span style=""color:#999"">(alias: cart, wagon, vehicle)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",RSH,RSH1::L40 primitive
丝,silk,,1081,,"sī: silk, thread, trace, CL:條|条[tiáo]",thread,⿱ (top-bottom),⿱⿰{27}{27}一,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span>",RSH,RSH1::L35
