character,keyword,reading,decomposition,spatial,ids,components_detail,tags
丫,fork,ya1,horns (also: animal horns) + walking stick,⿱ (top-bottom),⿱丷丨,"丷 = horns (also: animal horns), 丨 = walking stick",SC::L1
巳,"6th earthly branch: 9-11 a.m., 4th solar month (5th May-5th June), year of the Snake",si4,,,巳,,SC::L1
丐,to beg for alms,gai4,one,⿱ (top-bottom),⿱⿸丅一㇉,一 = one,SC::L1
夯,to ram,ben4,large + power,⿱ (top-bottom),⿱大力,"大 = large, 力 = power",SC::L1
叽,grumble,ji1,mouth + how many?,⿰ (left-right),⿰口几,"口 = mouth, 几 = how many?",SC::L1
叩,to knock,kou4,mouth + stamp,⿰ (left-right),⿰口卩,"口 = mouth, 卩 = stamp",SC::L1
冉,surname Ran,ran3,hood (also: glass cover + soil,⿻ (overlaid),⿻冂土,"冂 = hood (also: glass cover, cowl, helmet), 土 = soil",SC::L1
卯,mortise (slot cut into wood to receive a tenon),mao3,stamp,⿰ (left-right),⿰𠂎卩,卩 = stamp,SC::L1
迂,literal-minded,yu1,road + Yu,⿺ (bottom-left-wrap),⿺辶于,"辶 = road, 于 = Yu",SC::L1
戎,surname Rong,Rong2,halberd + by one’s side,⿹ (top-right-wrap),⿹戈𠂇,"戈 = halberd, 𠂇 = by one’s side",SC::L1
芋,taro,yu4,flower + Yu,⿱ (top-bottom),⿱艹于,"艹 = flower, 于 = Yu",SC::L1
吏,minor government official or functionary (old),li4,one + history,⿻ (overlaid),⿻一史,"一 = one, 史 = history",SC::L1
吆,to shout,yao1,mouth + uno,⿰ (left-right),⿰口幺,"口 = mouth, 幺 = uno",SC::L1
屹,high and steep,yi4,mountain + beg,⿰ (left-right),⿰山乞,"山 = mountain, 乞 = beg",SC::L1
肋,rib,lei4,month + power,⿰ (left-right),⿰月力,"月 = month, 力 = power",SC::L1
匈,Hungary,Xiong1,bound up + sinister / villain / cruel,⿹ (top-right-wrap),⿹勹凶,"勹 = bound up, 凶 = sinister / villain / cruel",SC::L1
汛,high water,xun4,crochet needles,⿰ (left-right),⿰氵卂,卂 = crochet needles,SC::L1
汝,thou,ru3,woman,⿰ (left-right),⿰氵女,女 = woman,SC::L1
讳,to avoid mentioning,hui4,tanned hide,⿰ (left-right),⿰讠韦,韦 = tanned hide,SC::L1
讹,to extort,e2,transform / change,⿰ (left-right),⿰讠化,化 = transform / change,SC::L1
诀,to bid farewell,jue2,guillotine,⿰ (left-right),⿰讠夬,夬 = guillotine,SC::L1
弛,to unstring a bow,chi2,bow + also / est,⿰ (left-right),⿰弓也,"弓 = bow, 也 = also / est",SC::L1
妃,imperial concubine,fei1,woman + self,⿰ (left-right),⿰女己,"女 = woman, 己 = self",SC::L1
驮,load carried by a pack animal,tuo2,horse + large,⿰ (left-right),⿰马大,"马 = horse, 大 = large",SC::L1
纫,to thread (a needle),ren4,thread + blade,⿰ (left-right),⿰纟刃,"纟 = thread, 刃 = blade",SC::L1
玖,black jade,jiu3,long time,⿰ (left-right),⿰𤣩久,久 = long time,SC::L1
韧,old variant of 韌|韧[ren4],ren4,tanned hide + blade,⿰ (left-right),⿰韦刃,"韦 = tanned hide, 刃 = blade",SC::L1
抠,to dig,kou1,fingers + region / ward,⿰ (left-right),⿰扌区,"扌 = fingers, 区 = region / ward",SC::L1
汞,mercury (chemistry),gong3,work / craft + water,⿱ (top-bottom),⿱工水,"工 = work / craft, 水 = water",SC::L1
