component,count,description,example_chars,your_heisig_name,variant_of,notes
丿,9,left-falling stroke,侃 凧 凪 卯 夙,drop,,basic stroke
𡿨,6,stream/river variant,拶 脛,,,"Heist doesn’t define all three of these, just treats all three as a variant of 川"
㇒,4,falling dot stroke,叱 曳 皐 睾,dropdrop,,basic stroke
巳,4,snake (earthly branch),巳 巽 祀,snakeskin,,Defined in RTH
乂,2,cross/mow,匁 欝,Sheaf,,
{39},2,left of 卬,卯 昴,,,Just define the whole piece of 卯 and break down in our own way
{50},2,top right of 叚,彗 鼈,,,The primitive for braces begins with the mouth full of staples
{122},1,bottom of 宐,亙,,,that you actually pay someone to inflict o n you. And as if this
㇂,1,curved stroke,曳,,,"weren't enough, the right side o f the primitive shows another"
{53},1,outside of 鸟/岛,枭,,,"brace (a box facing left), reaching from your mouth all the way"
{47},1,outside of 鳥/島,梟,,,"around your head and back again, i n order t o keep your jaw"
{18},1,left of 即,欝,,,from growing while your teeth are growing straight. 
{59},1,bottom of 舄,潟,,,"Heisig breaks this down as water, mortar, bound up, cooking fire"
㇀,1,horizontal stroke w/ hook,皐,,,"In your example, heisig defines the entire four strokes in characters like 率 as a “sparkler"""
亅,1,hook stroke,祿,,,Heisig views this 5 stroke version of 水 as snowflake
{24},1,right of 水,,,,Heisig views all these “diagonal one strokes as variants of “droplet”
{76},1,top of 長,,,,"Heisig just calls the top three long parts hair in his story, and later defines this as a horse mane. For things like this we can do them independently, as long as they are cosnistent"
{91},1,core of 黽,,,,"Heisig handwaves this, “The primitive elements you will recognize scattered around this
complete character are bound up, a pair of brooms, and a sheaf.
For the rest, we leave you to your own devices.”"
